"Word","SUBTLEX.FREQ","BNC.FREQ","Celex.FREQ"
"aback",15,327,59
"abaft",2,8,2
"abase",2,6,0
"abased",0,6,0
"abashed",0,57,15
"abate",5,69,8
"abates",2,9,3
"abbé",27,0,0
"abbés",0,0,0
"abbess",1,57,52
"abbey",45,1942,176
"abbeys",0,84,5
"abbot",18,588,34
"abbots",0,119,9
"abduct",36,32,4
"abeam",7,16,0
"abed",6,23,4
"abet",5,17,4
"abhor",12,43,12
"abhorred",7,45,15
"abhors",4,23,11
"abide",133,315,68
"abides",4,15,8
"abject",17,120,57
"abjure",1,16,4
"abjured",0,12,0
"ablaze",20,167,29
"able",8048,30410,5870
"abler",1,5,3
"ablest",2,44,14
"ably",9,99,65
"aboard",1335,966,285
"abode",33,165,27
"abodes",0,10,4
"abort",117,106,12
"aborts",1,7,0
"abound",18,278,40
"abounds",10,78,16
"about",179962,197116,44684
"above",2350,25748,4020
"abrade",1,9,0
"abreast",26,196,38
"abridge",1,15,4
"abridged",7,55,10
"abroad",248,3941,778
"abrupt",56,499,117
"abscess",23,50,14
"abscond",5,24,4
"absconds",0,5,0
"absence",314,5780,721
"absent",117,1567,251
"absents",0,3,0
"absolve",27,45,12
"absolved",15,85,15
"absolves",4,10,5
"absorb",99,809,216
"absorbed",74,1559,355
"absorbs",24,168,49
"abstain",18,129,40
"abstained",4,112,15
"abstract",104,2220,419
"abstracts",5,163,34
"abstruse",3,40,9
"absurd",467,966,450
"abuse",503,3597,277
"abused",226,747,65
"abyss",77,150,66
"accede",7,100,20
"accedes",0,6,2
"accent",595,1442,458
"accents",57,438,86
"accept",2598,9807,1704
"accepts",106,818,132
"access",1483,10940,762
"acclaim",22,266,39
"acclaimed",20,300,30
"acclaims",2,4,0
"accord",77,1159,128
"accords",8,253,27
"accost",3,21,8
"accosts",1,3,0
"account",2253,15891,2150
"accounts",521,7249,578
"accrete",0,8,0
"accretes",0,4,0
"accrue",4,200,28
"accrued",12,266,10
"accrues",1,44,11
"accuse",281,361,92
"accused",655,4910,548
"ace",357,1924,67
"aces",132,151,14
"ache",125,409,86
"ached",15,288,70
"aches",77,177,40
"achieve",373,6768,828
