Word,Spoken,Fiction,Magazine,Newspaper,Academic
abrasive,78,78,216,149,115
absorbent,12,30,138,24,51
aching,95,996,336,216,55
acidic,29,76,486,176,172
acrid,14,307,86,56,31
adhesive,35,145,467,84,179
alcoholic,641,497,695,665,634
alive,6937,9601,4739,4212,2356
amber,581,2299,842,475,139
angular,19,499,449,99,587
antiseptic,39,194,192,57,50
aromatic,32,132,412,242,120
astringent,NA,NA,101,33,9
audible,88,781,267,231,232
banging,264,1138,345,234,50
barbecued,35,74,151,226,15
barking,229,1277,313,257,70
beautiful,10947,16616,10050,5822,3135
beeping,45,240,73,49,8
beery,NA,NA,42,24,15
beige,75,722,366,278,54
bent,463,6467,2660,1033,772
big,58155,45048,46804,49083,8160
biscuity,NA,NA,NA,NA,NA
bitter,1668,2649,1865,2260,1011
black,22574,44904,46920,33507,28830
bland,145,498,534,617,205
blaring,55,454,146,160,30
bleeping,23,20,22,39,NA
blonde,490,2406,675,338,117
bloody,1328,3950,1424,1278,696
blotchy,NA,NA,36,12,4
blue,5438,25249,14924,10230,4138
blunt,691,1081,790,802,368
boiling,327,959,2136,909,297
booming,497,528,848,1147,236
bouncy,41,107,175,73,12
brackish,NA,NA,88,38,81
branching,42,117,321,83,220
breakable,NA,NA,42,12,9
breezy,53,209,310,196,24
bright,2194,11988,8476,4332,2156
brilliant,1924,3061,3166,1883,1004
briny,NA,NA,55,65,3
bristly,NA,NA,55,16,7
brittle,79,722,489,232,146
broad,2180,4047,4204,3676,7286
broken,4569,10493,5697,5102,2779
bronze,314,1053,1502,1878,714
brown,11857,13605,15355,19427,5732
brunette,61,491,146,72,15
bulky,76,606,642,228,158
bumpy,137,242,376,252,51
burning,2099,5494,3352,2007,1573
burnt,214,1002,620,155,205
bursting,160,900,508,320,147
buttery,18,153,320,244,11
buzzing,247,974,391,262,74
caramelized,34,26,249,281,1
charred,123,590,326,314,61
cheesy,103,171,287,188,7
checkered,82,209,169,156,61
chewy,24,56,230,220,10
chilly,221,925,627,452,95
chocolatey,NA,NA,17,16,1
chubby,101,500,198,117,25
circular,138,1016,1303,371,987
citrusy,NA,NA,54,24,2
clammy,13,350,87,21,13
clamorous,NA,NA,30,19,24
clean,5602,9760,10694,6769,3810
clear,20246,16295,17433,15608,19896
cloudy,164,572,467,257,121
cloying,NA,NA,67,86,18
coconutty,NA,NA,NA,NA,NA
cold,7220,22760,14137,7571,6486
colossal,145,212,314,229,176
colorful,499,1136,2713,1628,793
compact,250,625,2509,1125,1153
conical,NA,NA,120,43,145
contoured,NA,NA,203,23,61
cooing,13,202,70,32,8
cool,4975,10043,13787,6381,1298
crackling,44,647,186,126,31
craggy,20,215,238,113,31
crashing,424,1360,636,442,118
creaking,19,718,94,58,23
creamy,110,479,1615,843,42
creased,NA,NA,81,52,30
crimson,54,986,677,292,82
crinkled,NA,NA,60,23,11
crisp,215,1480,2386,1684,426
crooked,209,1442,440,281,104
crowded,970,3467,1950,2175,789
crunching,51,495,178,115,28
crying,3102,7391,2070,1492,483
curly,151,1387,516,239,59
curved,63,1653,927,243,353
cute,2232,2466,1456,856,111
damp,128,3497,1278,322,181
dank,15,404,133,91,27
dappled,NA,NA,123,22,17
dark,4372,37316,14650,7035,4247
dazzling,166,670,809,503,172
dead,12616,31292,10257,8871,5795
deafening,88,535,201,144,44
deep,6278,21224,14983,9134,6863
delicious,880,1393,2413,1338,206
dim,175,2920,994,583,361
dirty,2147,5124,2671,2119,907
downy,NA,NA,68,21,16
drab,49,401,243,229,82
dry,2229,8657,12516,4775,3453
dull,371,2923,1246,595,489
dusty,262,2790,989,1096,261
earthy,56,184,466,363,67
echoing,135,987,374,389,390
eggy,NA,NA,NA,NA,NA
elastic,64,404,574,142,525
elegant,526,2253,2847,1679,723
empty,2143,15983,4264,3629,2102
enormous,4899,3891,4316,3200,3218
faint,229,4298,1694,392,444
falling,3020,7392,3932,3741,2105
fat,4086,7485,21770,8769,1497
fatty,151,236,1537,239,321
feverish,43,397,164,110,87
filthy,192,1351,246,259,152
fishy,104,176,145,81,13
flaky,47,97,254,167,11
flat,2205,7874,7234,3439,1785
flavorsome,NA,NA,NA,NA,1
fleshy,22,485,189,41,59
flickering,43,1277,226,136,79
floppy,46,315,544,139,76
floral,103,446,1182,445,322
flowery,17,219,101,118,53
fluffy,66,491,718,375,40
foamy,11,129,159,65,17
fetid,NA,NA,55,36,21
foggy,78,472,236,225,35
forked,18,290,150,63,31
fragrant,30,628,1069,415,56
freezing,592,1412,1283,570,416
fresh,4496,7222,18086,10304,2573
frosty,50,359,252,179,30
fruity,40,113,266,191,9
fuzzy,260,878,845,537,299
gamy,NA,NA,18,18,1
garlicky,NA,NA,73,102,4
gigantic,341,950,637,459,262
giggling,77,880,232,148,24
glamorous,542,417,851,559,130
gleaming,73,1871,514,437,90
glistening,33,1046,264,177,55
glittery,15,148,104,67,5
globular,NA,NA,NA,NA,157
glossy,94,927,727,390,133
glowing,228,2505,1096,483,225
gold,3913,10234,9630,10031,3453
gooey,35,127,174,158,14
gorgeous,1449,1524,1518,830,95
grainy,84,406,241,153,30
grassy,66,609,541,367,90
greasy,76,1153,382,200,42
green,6167,19546,21750,18279,6206
gray,2561,12836,5687,4533,2140
gritty,139,339,389,508,67
groaning,48,620,109,82,41
grotesque,146,504,257,203,400
growling,34,540,104,70,22
grubby,22,253,60,44,13
gurgling,23,297,90,47,15
hairy,107,973,423,164,114
handsome,560,4667,1686,1181,388
happy,16844,15663,10847,9192,2854
