"Word","Freq_KF","Freq_HAL"
"ALF",NA,928
"ALFA",NA,849
"alfresco",2,5
"algebraical",NA,2
"algebras",NA,156
"ALGER",NA,200
"ALGINATES",NA,3
"ALGOL",NA,380
"algorithmic",NA,637
"algorithms",NA,9114
"ALIA",NA,523
"ALIAH",NA,0
"aliases",NA,3283
"alienating",NA,372
"alienist",1,15
"alienists",NA,3
"ALIENUS",NA,2
"alighted",NA,27
"alighting",NA,19
"alights",NA,12
"aligns",NA,137
"allegros",NA,2
"alimentary",1,41
"aliments",NA,17
"ALIQUOTS",NA,23
"ALISON",NA,2575
"alit",1,16
"ALIX",NA,133
"ALIX'S",NA,1
"ALIZARIN",NA,7
"ALKALOIDS",NA,263
"ALKYLARYSULFONATE",NA,0
"ALKYLBENZENESULFONATES",NA,0
"ALLA",NA,6199
"allayed",NA,25
"allaying",NA,17
"allays",NA,8
"alleges",NA,433
"ALLEGHENIES",NA,2
"ALLEGHENY",NA,385
"allegorically",NA,24
"allegories",NA,58
"ALLEGRETTI",NA,5
"allegrettos",NA,0
"alleluias",NA,2
"ALLEMANDS",NA,51
"allergens",NA,150
"alleviated",NA,278
"alleviates",NA,111
"alligators",NA,238
"alliterated",NA,0
"alliterates",NA,15
"alliterating",NA,1
"alliteratively",NA,1
"allocates",NA,658
"allocating",NA,1003
"ALLONS",NA,72
"allopathical",NA,0
"allopathically",NA,0
"allots",NA,65
"allowably",NA,1
"alloyed",NA,49
"alloying",NA,63
"ALLSO",NA,64
"ALLSTATES",NA,0
"allured",NA,15
"allurements",NA,5
"allures",NA,137
"allusively",NA,1
"alluvia",NA,0
"alluvial",NA,27
"alluvium",1,7
"alluviums",NA,0
"allying",NA,67
"ALMA",NA,1376
"ALMADEN",NA,261
"ALMAGEST",NA,10
"almanacs",NA,258
"almoner",1,1
"almoners",NA,0
"ALOKUT",NA,0
"aloofly",NA,1
"alopecia",NA,45
"ALORS",NA,939
"alpaca",1,75
"alpacas",NA,15
"alpenhorn",1,8
"alpenhorns",NA,1
"alpenstock",1,3
"alpenstocks",NA,0
"ALPERS",NA,73
"ALPERT",NA,763
"ALPERTS",NA,6
"alphabetically",NA,904
"alphabets",NA,381
"ALPHARETTA",NA,183
"alphas",NA,1060
"ALPHONSE",NA,160
"alpinism",NA,3
"alpinist",NA,9
"alpinists",NA,10
