List,Words
list1,rorce:broar
list1,resk:thurl
list1,rinch:slault
list1,raun:blosque
list1,rhoob:wid
list1,brove:gnorb
list1,prass:smink
list1,prall:flase
list1,breant:yame
list1,dwirm:snilm
list1,knarb:glilt
list1,chark:ghinn
list1,snache:psewth
list1,sluzz:spalk
list1,dulse:gant
list2,rhoob:breant
list2,raun:knarb
list2,rinch:slault
list2,resk:glilt
list2,rorce:yame
list2,prall:chark
list2,prass:sluzz
list2,brove:dulse
list2,broar:wid
list2,dwirm:snache
list2,thurl:blosque
list2,gnorb:gant
list2,snilm:spalk
list2,smink:psewth
list2,flase:ghinn
list3,yame:flase
list3,ghinn:snilm
list3,psewth:dwirm
list3,gant:prall
list3,wid:rhoob
list3,glilt:smink
list3,spalk:gnorb
list3,blosque:broar
list3,dulse:rorce
list3,slault:thurl
list3,snache:brove
list3,sluzz:resk
list3,knarb:prass
list3,chark:rinch
list3,breant:raun
list4,wid:dulse
list4,gant:snache
list4,psewth:dwirm
list4,ghinn:brove
list4,yame:rorce
list4,blosque:sluzz
list4,spalk:chark
list4,glilt:breant
list4,flase:rhoob
list4,slault:knarb
list4,snilm:prall
list4,smink:raun
list4,thurl:prass
list4,gnorb:rinch
list4,broar:resk
