ID,PropertyBritish,Word,VisualStrengthMean,HapticStrengthMean,AuditoryStrengthMean,GustatoryStrengthMean,OlfactoryStrengthMean,DominantModality,ModalityExclusivity
1,abrasive,abrasive,2.894736842,3.684210526,1.684210526,0.578947368,0.578947368,Haptic,0.329608939
2,absorbent,absorbent,4.142857143,3.142857143,0.714285714,0.476190476,0.476190476,Visual,0.409574468
3,aching,aching,2.047619048,3.666666667,0.666666667,0.047619048,0.095238095,Haptic,0.554744526
4,acidic,acidic,2.19047619,1.142857143,0.476190476,4.19047619,2.904761905,Gustatory,0.340611354
5,acrid,acrid,1.125,0.625,0.375,3,3.5,Olfactory,0.362318841
6,adhesive,adhesive,3.666666667,4.333333333,1.19047619,0.904761905,1.761904762,Haptic,0.289156627
7,alcoholic,alcoholic,2.85,0.35,0.75,4.35,4.3,Gustatory,0.317460317
8,alive,alive,4.571428571,3.80952381,4.095238095,1.571428571,2.380952381,Visual,0.182608696
9,amber,amber,4.476190476,0.523809524,0.142857143,0.571428571,0.857142857,Visual,0.65942029
10,angular,angular,4.285714286,4.095238095,0.25,0.047619048,0.047619048,Visual,0.485675307
11,antiseptic,antiseptic,1.666666667,0.9,0.142857143,1.761904762,3.952380952,Olfactory,0.4522329
12,aromatic,aromatic,1.3,0.333333333,0.285714286,3.380952381,4.523809524,Olfactory,0.431410567
13,astringent,astringent,1.625,0.5,0.375,1.75,1.25,Gustatory,0.25
14,audible,audible,1.142857143,0.285714286,4.952380952,0.047619048,0.047619048,Auditory,0.757352941
15,banging,banging,3.047619048,1.333333333,4.523809524,0,0.047619048,Auditory,0.505319149
16,barbecued,barbecued,4.619047619,1.380952381,1.571428571,4.952380952,4.666666667,Gustatory,0.207756233
17,barking,barking,3.380952381,0.476190476,5,0.142857143,0.523809524,Auditory,0.51
18,beautiful,beautiful,4.619047619,2.761904762,2.904761905,2.80952381,2.80952381,Visual,0.116766467
19,beeping,beeping,1.428571429,0.142857143,4.857142857,0,0.047619048,Auditory,0.75
