"POS","ID","PosScore","NegScore","SynsetTerms"
"a",1740,0.125,0,"able"
"a",2098,0,0.75,"unable"
"a",2312,0,0,"dorsal abaxial"
"a",2527,0,0,"ventral adaxial"
"a",2730,0,0,"acroscopic"
"a",2843,0,0,"basiscopic"
"a",2956,0,0,"abducting abducent"
"a",3131,0,0,"adductive adducting adducent"
"a",3356,0,0,"nascent"
"a",3553,0,0,"emerging emergent"
"a",3700,0.25,0,"dissilient"
"a",3829,0.25,0,"parturient"
"a",3939,0,0,"dying"
"a",4171,0,0,"moribund"
"a",4296,0,0,"last"
"a",4413,0,0,"abridged"
"a",4615,0,0,"shortened cut"
"a",4723,0,0,"half-length"
"a",4817,0,0,"potted"
"a",4980,0,0,"unabridged"
"a",5107,0.5,0,"uncut full-length"
"a",5205,0.5,0,"absolute"
"a",5473,0.75,0,"direct0"
"a",5599,0.5,0.5,"unquestioning implicit"
"a",5718,0.125,0,"infinite"
"a",5839,0.5,0.125,"living"
"a",6032,0.25,0.5,"relative comparative"
"a",6245,0,0,"relational"
"a",6336,0,0,"absorptive absorbent"
"a",6777,0.375,0,"sorbefacient absorbefacient"
"a",6885,0,0.75,"assimilatory assimilative assimilating"
"a",24139,0,0.5,"unfaithful"
"a",24241,0,0.625,"wide_of_the_mark wide"
"a",24417,0.125,0,"accustomed"
"a",24619,0,0.375,"wont_to used_to"
"a",24834,0,0.75,"unaccustomed"
"a",24996,0,0.125,"new1"
"a",25138,0,0.125,"unused"
"a",25238,0,0.125,"acidic"
"a",25470,0,0.375,"acid"
"a",25633,0,0.5,"acid-forming"
"a",25728,0,0,"alkaline alkalic"
"a",26051,0.125,0.375,"alkalescent alcalescent"
"a",26168,0.25,0,"basic"
"a",26294,0.125,0.125,"base-forming"
"a",26388,0.25,0.125,"saltlike"
"a",26515,0.5,0,"amphoteric amphiprotic"
"a",26706,0,0.25,"acid-loving"
"a",26895,0,0,"aciduric acidophilous acidophilic"
"a",27074,0,0.25,"alkaline-loving"
"a",27247,0.125,0,"acknowledged"
"a",27599,0.5,0,"recognized recognised accepted"
"a",27833,0,0.125,"self-confessed"
"a",28008,0.25,0,"assumptive"
"a",28181,0.375,0,"declarable"
"a",28280,0,0,"granted given"
"a",28471,0.125,0,"putative"
"a",28672,0,0.625,"unacknowledged"
"a",28867,0,0.375,"unvalued unsung unappreciated"
"a",28984,0.25,0,"unavowed secret"
"a",29108,0,0.375,"unconfessed"
"a",29216,0,0.5,"unrecognized unrecognised"
"a",29343,0,0,"acquisitive"
"a",29769,0.375,0,"accumulative"
"a",29933,0,0,"prehensile greedy grasping grabby covetous avaricious"
"a",30508,0,0,"possessive"
"a",30701,0,0,"plundering"
"a",30798,0,0,"predatory predacious predaceous"
"a",31138,0.25,0.5,"voracious ravening rapacious"
"a",31384,0,0.5,"sordid"
