Modality,Word,Instrument,Freq,Log10
Visual,amaranth,no,86,1.939519253
Visual,beige,no,164,2.217483944
Visual,black,no,12423,4.094261443
Visual,blue,no,7856,3.895256753
Visual,bronze,no,3876,3.588495801
Visual,brown,no,3086,3.489536629
Visual,carmine,no,349,2.544068044
Visual,color,no,34305,4.535370083
Visual,colorations,no,0,0
Visual,crimson,no,1330,3.124178055
Visual,cyan,no,70,1.851258349
Visual,eye,no,30375,4.482530584
Visual,gaze,no,8010,3.903686732
Visual,glance,no,4536,3.656768779
Visual,glare,no,1908,3.280805928
Visual,gleam,no,808,2.907948522
Visual,glimpse,no,4644,3.666985718
Visual,glint,no,779,2.892094603
Visual,glisten,no,0,0
Visual,glitter,no,751,2.876217841
Visual,glower,no,77,1.892094603
Visual,gray,no,2465,3.391993072
Visual,green,no,28383,4.453073598
Visual,image,no,34831,4.541978412
Visual,indigo,no,549,2.740362689
Visual,look,no,65638,4.817161956
Visual,magenta,no,321,2.507855872
Visual,moonlight,no,1377,3.139249218
Visual,obscurity,no,548,2.739572344
Visual,orange,no,13405,4.127299215
Visual,photo,no,18269,4.261738547
Visual,picture,no,32534,4.512350811
Visual,pink,no,2520,3.401572846
Visual,purple,no,1051,3.02201574
Visual,red,no,36524,4.562590225
Visual,reflection,no,7195,3.857091155
Visual,scarlet,no,196,2.294466226
Visual,shade,no,5314,3.725503269
Visual,shadow,no,10713,4.029951642
Visual,shimmer,no,424,2.62838893
Visual,shine,no,1249,3.096910013
Visual,sight,no,12991,4.113676012
Visual,sunlight,no,4889,3.689308859
Visual,translucency,no,48,1.69019608
Visual,turquoise,no,995,2.998259338
Visual,violet,no,1155,3.062957834
Visual,white,no,9345,3.970625777
Visual,whiteness,no,711,2.852479994
Visual,yellow,no,3036,3.482444792
Auditory,accordion,yes,479,2.681241237
Auditory,babble,no,248,2.396199347
Auditory,bang,no,1689,3.227886705
Auditory,banjo,yes,377,2.5774918
Auditory,bass,yes,6121,3.786893325
Auditory,bell,yes,8156,3.911530462
Auditory,birr,no,0,0
Auditory,blare,no,133,2.127104798
Auditory,bleep,no,103,2.017033339
Auditory,boom,no,5538,3.743431365
Auditory,brattle,no,10,1.041392685
Auditory,burble,no,32,1.51851394
Auditory,buzz,no,90,1.959041392
Auditory,castanet,yes,10,1.041392685
Auditory,cello,yes,583,2.766412847
Auditory,chatter,no,1012,3.005609445
Auditory,chime,no,237,2.376576957
Auditory,chug,no,70,1.851258349
Auditory,cithara,yes,0,0
Auditory,clamor,no,515,2.712649702
Auditory,clang,no,218,2.340444115
Auditory,clangor,no,19,1.301029996
Auditory,clank,no,129,2.113943352
Auditory,clap,no,271,2.434568904
Auditory,clash,no,2007,3.302763708
Auditory,clink,no,205,2.31386722
Auditory,clop,no,45,1.662757832
Auditory,clump,no,925,2.966610987
Auditory,clunk,no,68,1.838849091
Auditory,concert,no,7612,3.88155583
Auditory,contrabass,yes,6,0.84509804
Auditory,crack,no,5931,3.773201142
Auditory,crackle,no,417,2.621176282
Auditory,crackling,no,93,1.973127854
Auditory,creak,no,325,2.5132176
Auditory,crunch,no,1480,3.170555059
Auditory,deflagration,no,10,1.041392685
Auditory,detonation,no,246,2.392696953
Auditory,ding,no,12,1.113943352
Auditory,dingdong,no,1,0.301029996
Auditory,dong,no,101,2.008600172
Auditory,drone,no,783,2.894316063
Auditory,drum,yes,2670,3.426673888
Auditory,echo,no,2274,3.356981401
Auditory,fiddle,yes,617,2.790988475
Auditory,fife,no,96,1.986771734
Auditory,flute,yes,879,2.944482672
Auditory,glug,no,14,1.176091259
Auditory,groan,no,458,2.661812686
Auditory,grumble,no,102,2.012837225
Auditory,grunt,no,601,2.779596491
Auditory,guggle,no,0,0
Auditory,guitar,yes,4870,3.68761813
Auditory,harmonica,yes,384,2.58546073
Auditory,harp,yes,660,2.820201459
Auditory,honk,no,94,1.977723605
Auditory,howl,no,567,2.754348336
Auditory,hum,no,1136,3.055760465
Auditory,hustle,no,410,2.613841822
Auditory,hymn,no,628,2.798650645
Auditory,jangle,no,84,1.929418926
Auditory,jazz,no,8605,3.934801342
Auditory,jingle,no,471,2.673941999
Auditory,lute,yes,279,2.447158031
Auditory,mandolin,yes,135,2.133538908
Auditory,melody,no,1986,3.298197867
Auditory,meow,no,88,1.949390007
Auditory,moo,no,184,2.267171728
Auditory,murmur,no,764,2.883661435
Auditory,music,no,76969,4.886321487
Auditory,noise,no,10506,4.021478732
Auditory,noiselessness,no,1,0.301029996
Auditory,orchestra,no,3413,3.533263517
Auditory,organ,yes,3834,3.583765368
Auditory,patter,no,286,2.457881897
Auditory,peal,no,121,2.086359831
Auditory,percussion,yes,636,2.804139432
Auditory,piano,yes,5911,3.771734425
Auditory,pianola,yes,2,0.477121255
Auditory,ping,no,572,2.758154622
Auditory,plunk,no,38,1.591064607
Auditory,polka,no,385,2.586587305
Auditory,purl,no,23,1.380211242
Auditory,purr,no,117,2.071882007
Auditory,rattle,no,789,2.897627091
Auditory,ring,no,10468,4.0199052
Auditory,ripple,no,1147,3.059941888
Auditory,roar,no,2175,3.337658891
Auditory,roaring,no,840,2.924795996
Auditory,rumble,no,912,2.960470778
Auditory,rustle,no,440,2.644438589
Auditory,saxophone,yes,483,2.684845362
Auditory,screak,no,1,0.301029996
Auditory,scream,no,1741,3.241048151
Auditory,screech,no,483,2.684845362
Auditory,shout,no,911,2.959994838
Auditory,silence,no,10967,4.040127442
Auditory,sing,no,7,0.903089987
Auditory,sizzle,no,288,2.460897843
Auditory,skriech,no,0,0
Auditory,snarl,no,271,2.434568904
Auditory,song,no,17229,4.236285277
Auditory,sonority,no,26,1.431363764
Auditory,sound,no,40122,4.603393398
Auditory,soundlessness,no,3,0.602059991
Auditory,splash,no,1742,3.241297387
Auditory,squawk,no,151,2.181843588
Auditory,squeak,no,338,2.530199698
Auditory,squelch,no,41,1.62324929
Auditory,symphony,no,3423,3.534533756
Auditory,tambour,yes,14,1.176091259
Auditory,thrum,no,119,2.079181246
Auditory,thud,no,541,2.733999287
Auditory,thunder,no,2215,3.345569756
Auditory,tick,no,710,2.851869601
Auditory,ticking,no,795,2.900913068
Auditory,ting,no,207,2.318063335
Auditory,tinkle,no,131,2.120573931
Auditory,tootle,no,3,0.602059991
Auditory,trumpet,yes,1008,3.003891166
Auditory,tune,no,3590,3.555215405
Auditory,twang,no,227,2.357934847
Auditory,viola,yes,217,2.338456494
Auditory,violin,yes,0,0
Auditory,voice,no,57717,4.761311274
Auditory,warble,no,61,1.792391689
Auditory,whir,no,190,2.281033367
Auditory,whirr,no,67,1.832508913
Auditory,whisper,no,1321,3.121231455
Auditory,whistle,no,1742,3.241297387
Auditory,whiz,no,519,2.716003344
Auditory,whizz,no,13,1.146128036
Auditory,xylophone,yes,68,1.838849091
Haptic,cold,no,16545,4.21869302
Haptic,coldness,no,271,2.434568904
Haptic,heat,no,28989,4.462248215
Haptic,hotness,no,36,1.568201724
Haptic,itch,no,488,2.689308859
Haptic,tickle,no,247,2.394451681
Haptic,touch,no,9213,3.964448208
Haptic,warmth,no,4011,3.603360924
Gustatory,acidity,no,347,2.541579244
Gustatory,acidulousness,no,0,0
Gustatory,bitterness,no,1403,3.147367108
Gustatory,flavor,no,5061,3.704322141
Gustatory,harshness,no,254,2.40654018
Gustatory,salinity,no,328,2.517195898
Gustatory,saltiness,no,42,1.633468456
Gustatory,sapidity,no,0,0
Gustatory,savor,no,101,2.008600172
Gustatory,sourness,no,63,1.806179974
Gustatory,sugariness,no,2,0.477121255
Gustatory,sweetness,no,1221,3.087071206
Gustatory,tartness,no,54,1.740362689
Gustatory,taste,no,11023,4.042339205
Olfactory,fetor,no,4,0.698970004
Olfactory,fragrance,no,1312,3.118264726
Olfactory,malodor,no,5,0.77815125
Olfactory,niff,no,0,0
Olfactory,noseful,no,4,0.698970004
Olfactory,odor,no,2805,3.448087667
Olfactory,perfume,no,1750,3.243286146
Olfactory,reek,no,200,2.303196057
Olfactory,scent,no,4445,3.647969458
Olfactory,smell,no,9106,3.959375337
Olfactory,sniff,no,291,2.465382851
Olfactory,stench,no,1037,3.016197354
Olfactory,stink,no,742,2.870988814
Olfactory,stinker,no,43,1.643452676
Olfactory,whiff,no,1024,3.010723865
